angDist,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,rmag,USNO-B1.0,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Bmag1,Rmag1,Bmag2,Rmag2,Imag,Epoch,pmRA,pmDE,e_pmRA,e_pmDE,Flags,B1s/g,R1s/g,B2s/g,R2s/g,Is/g
0.054407,132.8220833,62.9767111,08 51 17.30,+62 58 36.16,18.91,1529-00221027,132.822050,+62.976712,0.651,0.209,90,,18.91,,19.45,,1975.5,0,0,0,0,...,,2,,5,
0.094686,139.6925833,62.4969722,09 18 46.22,+62 29 49.10,18.6,1524-00210123,139.692639,+62.496967,1.019,1.019,90,,18.60,,19.48,,1975.5,0,0,0,0,...,,9,,2,
0.154166,143.291,15.1433306,09 33 09.84,+15 08 35.99,19.17,1051-00180422,143.290956,+15.143325,1.019,1.019,90,,19.17,,19.23,,1977.4,0,0,0,0,...,,8,,3,
0.121002,144.0882917,37.82885,09 36 21.19,+37 49 43.86,18.82,1278-00223059,144.088334,+37.828853,1.019,1.019,90,,18.82,,18.81,,1976.1,0,0,0,0,...,,10,,1,
0.112215,144.8694167,22.6615917,09 39 28.66,+22 39 41.73,19.48,1126-00203513,144.869450,+22.661587,1.019,0.562,90,,19.48,,18.38,,1974.1,0,0,0,0,...,,1,,1,
0.034884,145.5037083,16.9323111,09 42 00.89,+16 55 56.32,18.86,1069-00190038,145.503717,+16.932306,1.019,1.019,90,,18.86,,19.34,18.97,1950.0,0,0,0,0,...,,2,,7,
0.025892,145.7807917,31.1998278,09 43 07.39,+31 11 59.38,18.77,1211-00172391,145.780800,+31.199828,1.019,1.019,90,,18.77,,19.27,,1970.5,0,0,0,0,...,,4,,9,
0.027474,147.5574167,49.6544694,09 50 13.78,+49 39 16.09,18.32,1396-00208964,147.557428,+49.654467,1.019,1.019,90,20.98,18.32,,17.39,,1965.3,34,-410,87,144,...,4,2,,1,
0.120273,150.889,22.1504583,10 03 33.36,+22 09 01.65,19.27,1121-00212056,150.888964,+22.150459,1.019,0.794,0,,19.27,,19.32,,1973.2,0,0,0,0,...,,7,,2,
0.040566,150.9147083,16.7503306,10 03 39.53,+16 45 01.19,17.94,1067-00184401,150.914720,+16.750331,1.019,1.019,90,,17.94,,19.41,18.75,1950.0,0,0,0,0,...,,8,,1,
0.183551,152.4819167,14.7521,10 09 55.66,+14 45 07.56,14.45,1047-00187558,152.481864,+14.752100,1.019,1.019,90,,14.45,,19.43,18.35,1984.8,254,104,92,53,...,,2,,2,
0.065582,153.863,25.6622,10 15 27.12,+25 39 43.92,19.42,1156-00172014,153.863020,+25.662203,1.019,1.019,90,,19.42,,19.32,,1972.6,0,0,0,0,...,,9,,9,
