,USNO Object (ID),RA (deg),DEC (deg),r (mag),PM?,PM_RA (mas/yr),DEC_RA (mas/yr),Closest Pan-STARRS Object (ID),PS Match?,Closest GAIA Object (ID),G Match?,Candidate?
66,1327-00292027,171.38947000000002,81.53255300000001,19.26,1,-260,554,0,0,0,0,1
67,1061-00204308,190.546103,16.148625,13.57,0,0,0,0,0,0,0,1
68,1173-00253761,193.443425,27.352428,18.13,0,0,0,0,0,0,0,1
69,1522-00249923,193.497128,62.283673,19.22,0,0,0,0,0,0,0,1
70,1087-00212421,197.068714,18.780217,19.1,0,0,0,PSO J197.0690+18.7802,1,0,0,0
71,1050-00220685,202.655623,15.072139,19.32,0,0,0,0,0,0,0,1
72,0925-00298786,202.725725,2.502159,19.05,0,0,0,0,0,0,0,1
73,1021-00258559,203.007289,12.172034,14.64,0,0,0,0,0,0,0,1
74,1177-00291410,206.373153,27.736737,19.36,0,0,0,0,0,0,0,1
75,0981-00275146,210.29536199999998,-22.061504999999997,19.36,1,22,-432,0,0,0,0,1
76,1011-00224006,208.776275,11.196214,17.51,0,0,0,0,0,0,0,1
77,1160-00214232,212.658481,26.009295,19.02,0,0,0,0,0,0,0,1
78,1168-00245801,228.47180899999998,9.327517,18.1,1,222,-250,0,0,Gaia DR3 1167297584780445568,0,1
79,1025-00274182,212.988631,12.563828,18.66,0,0,0,0,0,0,0,1
80,1343-00269430,201.150228,31.479036999999998,18.9,1,-208,-184,PSO J201.1505+31.4787,1,0,0,0
81,1228-00294957,216.346342,32.898712,19.23,0,0,0,0,0,0,0,1
82,1222-00305081,221.50382,32.212617,19.39,0,0,0,0,0,0,0,1
83,1525-00257216,222.44815,62.578462,19.47,0,0,0,0,0,Gaia DR3 1620202852512394496,0,1
84,1523-00271731,226.116437,62.390059,18.11,0,0,0,PSO J226.1153+62.3900,0,0,0,1
85,1411-00249570,228.030978,51.110023,18.83,0,0,0,0,0,0,0,1
