,RA_table,DEC_table,r(mag)_table,ID_USNO,RA_USNO,DEC_USNO,r1(mag)_USNO,r2(mag)_USNO,dd,dr,USNOmatch?,pm?,pm,pm_RA,pm_DEC,e_pm_RA,e_pm_DEC,new_RA,new_DEC,e_new_RA,e_new_DEC
33,150.889,22.1504583,19.27,1121-00212056,150.888964,22.150459,19.27,19.32,0.120273,0.0,yes,0,0.0,0,0,0,0,150.888964,22.150459,0.0,0.0
34,150.9147083,16.7503306,17.94,1067-00184401,150.91472,16.750331,17.94,19.41,0.040566,0.0,yes,0,0.0,0,0,0,0,150.91472,16.750331,0.0,0.0
35,152.4819167,14.7521,14.45,1047-00187558,152.481864,14.7521,14.45,19.43,0.183551,0.0,yes,1,274.46675572826666,254,104,92,53,152.4868028888889,14.754122222222223,6.44,3.71
36,153.863,25.6622,19.42,1156-00172014,153.86302,25.662203,19.42,19.32,0.065582,0.0,yes,0,0.0,0,0,0,0,153.86302,25.662203,0.0,0.0
37,154.7472083,21.2369889,19.38,1112-00190409,154.747192,21.236992,19.38,17.63,0.056132,0.0,yes,0,0.0,0,0,0,0,154.747192,21.236992,0.0,0.0
38,154.8650833,15.05495,18.89,1050-00189608,154.865081,15.054948,18.89,19.44,0.010644,0.0,yes,1,108.16653826391968,102,-36,24,88,154.86706433333333,15.054248,1.68,6.16
39,155.519,24.4411194,18.9,1144-00176282,155.519045,24.44112,18.9,18.86,0.147875,0.0,yes,0,0.0,0,0,0,0,155.519045,24.44112,0.0,0.0
40,155.8862917,16.83585,18.88,1068-00197046,155.886284,16.83585,18.88,19.34,0.026143,0.0,yes,1,240.53274205396653,16,240,65,31,155.8865951111111,16.840516666666666,4.55,2.17
41,157.6142917,22.7381,19.08,1127-00223968,157.614331,22.738103,19.08,18.43,0.130963,0.0,yes,0,0.0,0,0,0,0,157.614331,22.738103,0.0,0.0
42,160.2017917,21.8912111,19.36,1118-00210657,160.201848,21.891209,19.36,19.39,0.188317,0.0,yes,0,0.0,0,0,0,0,160.201848,21.891209,0.0,0.0
43,160.81,17.18125,18.99,1071-00217752,160.810003,17.181253,18.99,19.38,0.014925,0.0,yes,1,4.47213595499958,-2,4,0,2,160.8099641111111,17.18133077777778,0.0,0.14
44,162.898875,15.2274194,18.91,1052-00197620,162.898862,15.227423,18.91,19.16,0.047317,0.0,yes,0,0.0,0,0,0,0,162.898862,15.227423,0.0,0.0
45,163.9097083,14.9274306,18.54,1049-00195205,163.909689,14.927428,18.54,19.47,0.067955,0.0,yes,0,0.0,0,0,0,0,163.909689,14.927428,0.0,0.0
46,166.9625833,35.0373611,19.23,1250-00187336,166.962556,35.037362,19.23,19.18,0.08087,0.0,yes,0,0.0,0,0,0,0,166.962556,35.037362,0.0,0.0
47,166.9732083,18.8411611,18.38,1088-00191463,166.973225,18.841164,18.38,18.76,0.058235,0.0,yes,1,271.64682954159434,64,-264,64,44,166.97446944444445,18.836030666666666,4.48,3.08
48,168.6885,8.2962389,18.23,0982-00235303,168.688484,8.296237,18.23,19.23,0.057574,0.0,yes,1,460.75155995395176,456,-66,94,37,168.69735066666667,8.294953666666666,6.58,2.59
49,170.0562083,7.9488111,18.69,0979-00247952,170.056206,7.948806,18.69,19.07,0.01997,0.0,yes,1,168.68906307167634,166,-30,66,139,170.05943377777777,7.948222666666667,4.62,9.73
